Miasto, Data i godzina, Temperatura,Opady,Wilgodnoœæ
Bia³ystok,2021-07-06 05:00:00+02:00,21.2,98.1,10
Bielsko Bia³a,2021-07-06 05:00:00+02:00,18,81.8,0
Chojnice,2021-07-06 04:00:00+02:00,15.8,96.2,9.9
Czêstochowa,2021-07-06 05:00:00+02:00,18.1,81.8,0
Elbl¹g,2021-07-06 05:00:00+02:00,17.7,91.9,1
Gdañsk,2021-07-06 05:00:00+02:00,19,86.8,0.01
Gorzów,2021-07-06 05:00:00+02:00,17.2,89.0,0
Hel,2021-07-06 05:00:00+02:00,19.2,84.6,0
Jelenia Góra,2021-07-06 05:00:00+02:00,15.2,96.1,0
Kalisz,2021-07-06 05:00:00+02:00,18.9,83.5,0.3
Kasprowy Wierch,2021-07-06 05:00:00+02:00,9.5,84.8,0
Katowice,2021-07-06 05:00:00+02:00,18.6,84.5,0
Kêtrzyn,2021-07-06 05:00:00+02:00,20,88.0,0.3
Kielce,2021-07-06 05:00:00+02:00,17.5,87.8,0.01
K³odzko,2021-07-06 05:00:00+02:00,15.1,87.6,0
Ko³o,2021-07-06 04:00:00+02:00,16.4,86.0,0
Ko³obrzeg,2021-07-06 05:00:00+02:00,17.3,93.7,0
Koszalin,2021-07-06 05:00:00+02:00,17.3,93.1,0.1
Kozienice,2021-07-06 05:00:00+02:00,20,79.4,0.9
Kraków,2021-07-06 05:00:00+02:00,18.1,89.0,0
Krosno,2021-07-06 05:00:00+02:00,16.8,86.6,3.4
Legnica,2021-07-06 04:00:00+02:00,15.1,93.0,0
Lesko,2021-07-06 05:00:00+02:00,16.1,90.7,0.7
Leszno,2021-07-06 05:00:00+02:00,17.3,85.5,0
Lêbork,2021-07-06 05:00:00+02:00,18,96.8,0.6
Lublin,2021-07-06 05:00:00+02:00,20,79.4,1.6
£eba,2021-07-06 05:00:00+02:00,18.6,92.6,0
£ódŸ,2021-07-06 05:00:00+02:00,19.7,85.7,0
Miko³ajki,2021-07-06 05:00:00+02:00,19.5,90.9,0.01
M³awa,2021-07-06 05:00:00+02:00,18.1,87.9,0.01
Nowy S¹cz,2021-07-06 05:00:00+02:00,17,89.5,0.1
Olsztyn,2021-07-06 05:00:00+02:00,20,81.5,0
Opole,2021-07-06 05:00:00+02:00,17.6,82.8,0
Ostro³êka,2021-07-06 05:00:00+02:00,19.4,85.7,4.4
Pi³a,2021-07-06 05:00:00+02:00,17.4,93.1,0
Platforma,2021-07-06 05:00:00+02:00,19.2,86.8,0
P³ock,2021-07-06 05:00:00+02:00,19.4,82.5,0.5
Poznañ,2021-07-06 05:00:00+02:00,18.1,84.5,0
Przemyœl,2021-07-06 05:00:00+02:00,18.5,82.4,0
Racibórz,2021-07-06 05:00:00+02:00,17,85.5,0
Resko,2021-07-06 05:00:00+02:00,17.7,96.2,0
Rzeszów,2021-07-06 05:00:00+02:00,18.9,82.4,9.9
Sandomierz,2021-07-06 05:00:00+02:00,19,76.7,0.9
Siedlce,2021-07-06 05:00:00+02:00,19.5,88.5,0.4
S³ubice,2021-07-06 05:00:00+02:00,17.2,86.7,0
Sulejów,2021-07-06 05:00:00+02:00,19.1,86.8,0
Suwa³ki,2021-07-06 05:00:00+02:00,18.6,100.0,13.4
Szczecin,2021-07-06 05:00:00+02:00,17.9,90.8,0
Szczecinek,2021-07-06 05:00:00+02:00,17.7,96.2,0
Œnie¿ka,2021-07-06 05:00:00+02:00,9.7,100.0,0
Œwinoujœcie,2021-07-06 05:00:00+02:00,17.6,98.1,0
Tarnów,2021-07-06 05:00:00+02:00,19.7,79.8,0.01
Terespol,2021-07-06 05:00:00+02:00,19.8,93.8,0
Toruñ,2021-07-06 05:00:00+02:00,19.2,82.4,7.4
Ustka,2021-07-06 05:00:00+02:00,18.1,89.6,0
Warszawa,2021-07-06 05:00:00+02:00,19.3,80.9,15.1
Wieluñ,2021-07-06 05:00:00+02:00,19.2,84.6,0
W³odawa,2021-07-06 05:00:00+02:00,20,92.0,0.1
Wroc³aw,2021-07-06 05:00:00+02:00,18.5,82.9,0
Zakopane,2021-07-06 05:00:00+02:00,15.3,83.7,0
Zamoœæ,2021-07-06 05:00:00+02:00,19.1,98.7,4.9
Zielona Góra,2021-07-06 05:00:00+02:00,16.8,86.6,0
Bia³ystok,2021-07-06 06:00:00+02:00,23.2,78.7,2.5
Bielsko Bia³a,2021-07-06 06:00:00+02:00,20.8,69.3,0
Chojnice,2021-07-06 06:00:00+02:00,20,81.5,0.01
Czêstochowa,2021-07-06 06:00:00+02:00,21,73.5,0
Elbl¹g,2021-07-06 06:00:00+02:00,19.6,81.4,15.5
Gdañsk,2021-07-06 06:00:00+02:00,20.3,85.8,1.4
Gorzów,2021-07-06 05:00:00+02:00,17.2,89.0,0
Hel,2021-07-06 06:00:00+02:00,19.9,80.4,0.01
Jelenia Góra,2021-07-06 06:00:00+02:00,18.9,80.8,2.1
Kalisz,2021-07-06 06:00:00+02:00,20.6,71.6,0.01
Kasprowy Wierch,2021-07-06 06:00:00+02:00,10.5,89.7,0.01
Katowice,2021-07-06 06:00:00+02:00,21.8,67.2,0
Kêtrzyn,2021-07-06 06:00:00+02:00,21.5,78.5,0.5
Kielce,2021-07-06 06:00:00+02:00,21.4,70.3,0
K³odzko,2021-07-06 06:00:00+02:00,17.4,78.5,0.01
Ko³o,2021-07-06 05:00:00+02:00,18.8,77.2,0
Ko³obrzeg,2021-07-06 06:00:00+02:00,19.2,85.7,6.1
Koszalin,2021-07-06 06:00:00+02:00,19.4,85.7,38.7
Kozienice,2021-07-06 06:00:00+02:00,21.9,70.4,0
Kraków,2021-07-06 06:00:00+02:00,20.5,77.4,0
Krosno,2021-07-06 06:00:00+02:00,19.3,75.7,0
Legnica,2021-07-06 06:00:00+02:00,20.8,75.4,0.01
Lesko,2021-07-06 06:00:00+02:00,18.3,77.6,0
Leszno,2021-07-06 06:00:00+02:00,20.4,75.4,0.8
Lêbork,2021-07-06 06:00:00+02:00,20,86.9,1.8
Lublin,2021-07-06 06:00:00+02:00,22.2,72.3,0.01
£eba,2021-07-06 06:00:00+02:00,20.3,90.9,0.5
£ódŸ,2021-07-06 06:00:00+02:00,21.5,77.5,0
Miko³ajki,2021-07-06 06:00:00+02:00,20.8,86.9,18.4
M³awa,2021-07-06 06:00:00+02:00,20.6,75.4,0.01
Nowy S¹cz,2021-07-06 06:00:00+02:00,19,80.8,0
Olsztyn,2021-07-06 06:00:00+02:00,21.2,72.6,0
Opole,2021-07-06 06:00:00+02:00,20.4,70.6,0.01
Ostro³êka,2021-07-06 05:00:00+02:00,19.4,85.7,4.4
Pi³a,2021-07-06 06:00:00+02:00,19.5,82.5,0
Platforma,2021-07-06 06:00:00+02:00,19.4,86.8,0
P³ock,2021-07-06 06:00:00+02:00,21.1,70.3,0
Poznañ,2021-07-06 06:00:00+02:00,20.7,74.5,1.3
Przemyœl,2021-07-06 06:00:00+02:00,20.6,77.9,0
Racibórz,2021-07-06 06:00:00+02:00,20.3,77.4,0.01
Resko,2021-07-06 06:00:00+02:00,19.5,86.8,0.2
Rzeszów,2021-07-06 06:00:00+02:00,20.8,74.5,0
Sandomierz,2021-07-06 06:00:00+02:00,20.4,76.4,0
Siedlce,2021-07-06 06:00:00+02:00,21.5,78.5,0
S³ubice,2021-07-06 06:00:00+02:00,19.4,79.8,0.8
Sulejów,2021-07-06 06:00:00+02:00,21.3,78.5,0.01
Suwa³ki,2021-07-06 06:00:00+02:00,21.9,91.0,17.1
Szczecin,2021-07-06 06:00:00+02:00,20.2,79.4,6
Szczecinek,2021-07-06 06:00:00+02:00,19.8,86.3,1.3
Œnie¿ka,2021-07-06 06:00:00+02:00,9.7,100.0,1.3
Œwinoujœcie,2021-07-06 06:00:00+02:00,19.2,85.7,23.2
Tarnów,2021-07-06 06:00:00+02:00,21.2,72.6,0
Terespol,2021-07-06 06:00:00+02:00,22.5,79.7,0
Toruñ,2021-07-06 06:00:00+02:00,21.8,69.5,0
Ustka,2021-07-06 06:00:00+02:00,19.7,82.5,7.1
Warszawa,2021-07-06 06:00:00+02:00,21.6,68.5,0
Wieluñ,2021-07-06 06:00:00+02:00,21.7,64.2,0
W³odawa,2021-07-06 06:00:00+02:00,22.4,78.6,0
Wroc³aw,2021-07-06 06:00:00+02:00,20.7,74.5,0.01
Zakopane,2021-07-06 06:00:00+02:00,18.1,74.5,0
Zamoœæ,2021-07-06 06:00:00+02:00,21.9,82.7,0
Zielona Góra,2021-07-06 06:00:00+02:00,19.2,79.8,0.01
Bia³ystok,2021-07-06 07:00:00+02:00,23.9,68.5,2.5
Bielsko Bia³a,2021-07-06 07:00:00+02:00,22.1,65.1,0
Chojnice,2021-07-06 07:00:00+02:00,21.7,67.2,0.01
Czêstochowa,2021-07-06 07:00:00+02:00,22.4,59.5,0
Elbl¹g,2021-07-06 07:00:00+02:00,21,77.5,15.5
Gdañsk,2021-07-06 07:00:00+02:00,22,75.6,1.4
Gorzów,2021-07-06 07:00:00+02:00,22.1,73.2,5
Hel,2021-07-06 07:00:00+02:00,21.2,75.5,0.01
Jelenia Góra,2021-07-06 07:00:00+02:00,21.8,63.4,2.1
Kalisz,2021-07-06 07:00:00+02:00,22.5,61.5,0.01
Kasprowy Wierch,2021-07-06 07:00:00+02:00,10,89.6,0.01
Katowice,2021-07-06 06:00:00+02:00,21.8,67.2,0
Kêtrzyn,2021-07-06 07:00:00+02:00,22.5,69.6,0.5
Kielce,2021-07-06 07:00:00+02:00,23.1,59.2,0
K³odzko,2021-07-06 07:00:00+02:00,20.5,72.5,0.01
Ko³o,2021-07-06 06:00:00+02:00,20.8,70.2,0
Ko³obrzeg,2021-07-06 07:00:00+02:00,21,75.5,6.1
Koszalin,2021-07-06 07:00:00+02:00,21,75.5,38.7
Kozienice,2021-07-06 07:00:00+02:00,23.6,58.2,0
Kraków,2021-07-06 07:00:00+02:00,22.7,62.3,0
Krosno,2021-07-06 07:00:00+02:00,21.1,72.6,0
Legnica,2021-07-06 07:00:00+02:00,23.1,67.5,0.01
Lesko,2021-07-06 07:00:00+02:00,20.7,73.5,0
Leszno,2021-07-06 07:00:00+02:00,22.6,65.2,0.8
Lêbork,2021-07-06 07:00:00+02:00,22,73.2,1.8
Lublin,2021-07-06 07:00:00+02:00,23.6,63.3,0.01
£eba,2021-07-06 06:00:00+02:00,20.3,90.9,0.5
£ódŸ,2021-07-06 07:00:00+02:00,23,64.4,0
Miko³ajki,2021-07-06 07:00:00+02:00,22.2,75.6,18.4
M³awa,2021-07-06 07:00:00+02:00,22.3,70.5,0.01
Nowy S¹cz,2021-07-06 07:00:00+02:00,21.3,69.4,0
Olsztyn,2021-07-06 07:00:00+02:00,22.2,67.3,0
Opole,2021-07-06 07:00:00+02:00,23.1,55.1,0.01
Ostro³êka,2021-07-06 06:00:00+02:00,21.6,71.7,6.6
Pi³a,2021-07-06 07:00:00+02:00,22.1,66.4,0
Platforma,2021-07-06 07:00:00+02:00,19.5,84.6,0
P³ock,2021-07-06 07:00:00+02:00,22.7,61.1,0
Poznañ,2021-07-06 07:00:00+02:00,21.9,66.4,1.3
Przemyœl,2021-07-06 07:00:00+02:00,22.5,70.0,0
Racibórz,2021-07-06 07:00:00+02:00,22,70.4,0.01
Resko,2021-07-06 07:00:00+02:00,21.8,71.3,0.2
Rzeszów,2021-07-06 07:00:00+02:00,22.9,64.4,0
Sandomierz,2021-07-06 07:00:00+02:00,23,73.3,0
Siedlce,2021-07-06 07:00:00+02:00,23.7,66.3,0
S³ubice,2021-07-06 07:00:00+02:00,21.5,71.3,0.8
Sulejów,2021-07-06 07:00:00+02:00,22.9,69.2,0.01
Suwa³ki,2021-07-06 07:00:00+02:00,23.5,78.2,17.1
Szczecin,2021-07-06 07:00:00+02:00,22.2,68.2,6
Szczecinek,2021-07-06 07:00:00+02:00,21.5,73.6,1.3
Œnie¿ka,2021-07-06 07:00:00+02:00,9.7,100.0,1.3
Œwinoujœcie,2021-07-06 07:00:00+02:00,20.7,76.4,23.2
Tarnów,2021-07-06 07:00:00+02:00,22.9,66.1,0
Terespol,2021-07-06 07:00:00+02:00,24.6,69.5,0
Toruñ,2021-07-06 07:00:00+02:00,23.2,60.4,0
Ustka,2021-07-06 07:00:00+02:00,21.2,77.5,7.1
Warszawa,2021-07-06 07:00:00+02:00,23.1,64.5,0
Wieluñ,2021-07-06 07:00:00+02:00,23,58.4,0
W³odawa,2021-07-06 07:00:00+02:00,24.2,65.1,0
Wroc³aw,2021-07-06 07:00:00+02:00,23.8,59.4,0.01
Zakopane,2021-07-06 07:00:00+02:00,19.6,68.6,0
Zamoœæ,2021-07-06 07:00:00+02:00,23.6,69.3,0
Zielona Góra,2021-07-06 07:00:00+02:00,21,70.3,0.01
Bia³ystok,2021-07-06 08:00:00+02:00,24.9,66.0,2.5
Bielsko Bia³a,2021-07-06 08:00:00+02:00,23.8,54.1,0
Chojnice,2021-07-06 08:00:00+02:00,23,62.4,0.01
Czêstochowa,2021-07-06 08:00:00+02:00,24.1,56.0,0
Elbl¹g,2021-07-06 08:00:00+02:00,21.3,73.6,15.5
Gdañsk,2021-07-06 08:00:00+02:00,23,70.6,1.4
Gorzów,2021-07-06 08:00:00+02:00,24.2,58.3,5
Hel,2021-07-06 08:00:00+02:00,22.7,70.5,0.01
Jelenia Góra,2021-07-06 08:00:00+02:00,23.7,54.1,2.1
Kalisz,2021-07-06 08:00:00+02:00,24.3,56.1,0.01
Kasprowy Wierch,2021-07-06 08:00:00+02:00,11,83.8,0.01
Katowice,2021-07-06 08:00:00+02:00,24.5,56.1,0
Kêtrzyn,2021-07-06 08:00:00+02:00,23.9,59.4,0.5
Kielce,2021-07-06 08:00:00+02:00,24.5,54.3,0
K³odzko,2021-07-06 08:00:00+02:00,22.9,60.3,0.01
Ko³o,2021-07-06 07:00:00+02:00,23.5,55.2,0
Ko³obrzeg,2021-07-06 08:00:00+02:00,22.8,59.2,6.1
Koszalin,2021-07-06 08:00:00+02:00,22.1,69.5,38.7
Kozienice,2021-07-06 08:00:00+02:00,25.1,48.0,0
Kraków,2021-07-06 08:00:00+02:00,24.8,58.0,0
Krosno,2021-07-06 08:00:00+02:00,22.9,65.3,0
Legnica,2021-07-06 08:00:00+02:00,25,56.2,0.01
Lesko,2021-07-06 08:00:00+02:00,22.3,65.2,0
Leszno,2021-07-06 08:00:00+02:00,24,58.2,0.8
Lêbork,2021-07-06 08:00:00+02:00,23.3,70.2,1.8
Lublin,2021-07-06 08:00:00+02:00,25.3,56.2,0.01
£eba,2021-07-06 08:00:00+02:00,23.2,68.4,0.5
£ódŸ,2021-07-06 08:00:00+02:00,23.4,61.2,0
Miko³ajki,2021-07-06 08:00:00+02:00,23.1,66.2,18.4
M³awa,2021-07-06 08:00:00+02:00,23.4,63.3,0.01
Nowy S¹cz,2021-07-06 08:00:00+02:00,23.2,63.2,0
Olsztyn,2021-07-06 08:00:00+02:00,23.5,60.1,0
Opole,2021-07-06 08:00:00+02:00,24.7,48.3,0.01
Ostro³êka,2021-07-06 07:00:00+02:00,23,66.6,6.6
Pi³a,2021-07-06 08:00:00+02:00,24.2,54.2,0
Platforma,2021-07-06 08:00:00+02:00,19.3,81.4,0
P³ock,2021-07-06 08:00:00+02:00,23.7,52.4,0
Poznañ,2021-07-06 08:00:00+02:00,23.9,55.3,1.3
Przemyœl,2021-07-06 08:00:00+02:00,24.7,59.5,0
Racibórz,2021-07-06 08:00:00+02:00,23.9,61.3,0.01
Resko,2021-07-06 08:00:00+02:00,22.2,65.2,0.2
Rzeszów,2021-07-06 08:00:00+02:00,24.3,65.1,0
Sandomierz,2021-07-06 08:00:00+02:00,24.7,63.1,0
Siedlce,2021-07-06 08:00:00+02:00,24.7,63.1,0
S³ubice,2021-07-06 08:00:00+02:00,23.2,61.2,0.8
Sulejów,2021-07-06 08:00:00+02:00,23.9,60.2,0.01
Suwa³ki,2021-07-06 08:00:00+02:00,24.3,71.2,17.1
Szczecin,2021-07-06 08:00:00+02:00,23.9,56.4,6
Szczecinek,2021-07-06 08:00:00+02:00,22.7,65.7,1.3
Œnie¿ka,2021-07-06 08:00:00+02:00,10,100.0,1.3
Œwinoujœcie,2021-07-06 08:00:00+02:00,22.7,70.5,23.2
Tarnów,2021-07-06 08:00:00+02:00,24.6,59.1,0
Terespol,2021-07-06 08:00:00+02:00,25.6,61.3,0
Toruñ,2021-07-06 08:00:00+02:00,24.2,58.3,0
Ustka,2021-07-06 08:00:00+02:00,22.6,64.4,7.1
Warszawa,2021-07-06 08:00:00+02:00,24.2,61.4,0
Wieluñ,2021-07-06 08:00:00+02:00,23.9,52.1,0
W³odawa,2021-07-06 08:00:00+02:00,25.3,60.0,0
Wroc³aw,2021-07-06 08:00:00+02:00,25.2,52.0,0.01
Zakopane,2021-07-06 08:00:00+02:00,21,63.2,0
Zamoœæ,2021-07-06 08:00:00+02:00,24.6,61.1,0
Zielona Góra,2021-07-06 08:00:00+02:00,22.8,63.2,0.01
Bia³ystok,2021-07-06 09:00:00+02:00,25.1,64.4,2.5
Bielsko Bia³a,2021-07-06 09:00:00+02:00,24.5,50.1,0
Chojnice,2021-07-06 09:00:00+02:00,24,56.4,0.01
Czêstochowa,2021-07-06 09:00:00+02:00,24.1,50.1,0
Elbl¹g,2021-07-06 09:00:00+02:00,22.2,68.2,15.5
Gdañsk,2021-07-06 09:00:00+02:00,23.7,67.1,1.4
Gorzów,2021-07-06 09:00:00+02:00,25.2,52.0,5
Hel,2021-07-06 09:00:00+02:00,23.7,67.1,0.01
Jelenia Góra,2021-07-06 09:00:00+02:00,24.7,51.2,2.1
Kalisz,2021-07-06 09:00:00+02:00,25,53.0,0.01
Kasprowy Wierch,2021-07-06 09:00:00+02:00,11.6,81.5,0.01
Katowice,2021-07-06 09:00:00+02:00,25.2,49.0,0
Kêtrzyn,2021-07-06 09:00:00+02:00,24.6,61.1,0.5
Kielce,2021-07-06 09:00:00+02:00,25.3,52.0,0
K³odzko,2021-07-06 09:00:00+02:00,23.8,57.1,0.01
Ko³o,2021-07-06 09:00:00+02:00,25.3,41.5,0
Ko³obrzeg,2021-07-06 09:00:00+02:00,24.2,57.2,6.1
Koszalin,2021-07-06 09:00:00+02:00,23.4,61.3,38.7
Kozienice,2021-07-06 09:00:00+02:00,26,50.2,0
Kraków,2021-07-06 09:00:00+02:00,25.1,55.1,0
Krosno,2021-07-06 09:00:00+02:00,24.3,57.2,0
Legnica,2021-07-06 09:00:00+02:00,26,53.2,0.01
Lesko,2021-07-06 09:00:00+02:00,23.8,59.3,0
Leszno,2021-07-06 09:00:00+02:00,24.9,54.0,0.8
Lêbork,2021-07-06 09:00:00+02:00,24.6,62.3,1.8
Lublin,2021-07-06 09:00:00+02:00,25.5,52.1,0.01
£eba,2021-07-06 09:00:00+02:00,23.6,64.1,0.5
£ódŸ,2021-07-06 09:00:00+02:00,24.7,53.3,0
Miko³ajki,2021-07-06 09:00:00+02:00,24.5,58.3,18.4
M³awa,2021-07-06 09:00:00+02:00,24.6,56.1,0.01
Nowy S¹cz,2021-07-06 09:00:00+02:00,25.5,53.1,0
Olsztyn,2021-07-06 09:00:00+02:00,24.7,56.1,0
Opole,2021-07-06 09:00:00+02:00,25.5,45.0,0.01
Ostro³êka,2021-07-06 09:00:00+02:00,25.6,57.8,6.6
Pi³a,2021-07-06 09:00:00+02:00,25.3,47.1,0
Platforma,2021-07-06 09:00:00+02:00,19.2,83.5,0
P³ock,2021-07-06 09:00:00+02:00,24.9,46.1,0
Poznañ,2021-07-06 09:00:00+02:00,25.4,47.2,1.3
Przemyœl,2021-07-06 09:00:00+02:00,25.5,57.8,0
Racibórz,2021-07-06 09:00:00+02:00,25.2,54.1,0.01
Resko,2021-07-06 09:00:00+02:00,23.9,58.2,0.2
Rzeszów,2021-07-06 09:00:00+02:00,25.9,50.1,0
Sandomierz,2021-07-06 09:00:00+02:00,25.5,55.2,0
Siedlce,2021-07-06 09:00:00+02:00,25.8,56.0,0
S³ubice,2021-07-06 09:00:00+02:00,24.7,57.3,0.8
Sulejów,2021-07-06 09:00:00+02:00,24,57.1,0.01
Suwa³ki,2021-07-06 09:00:00+02:00,25.1,66.1,17.1
Szczecin,2021-07-06 09:00:00+02:00,25.2,58.1,6
Szczecinek,2021-07-06 09:00:00+02:00,24.2,50.1,1.3
Œnie¿ka,2021-07-06 09:00:00+02:00,10.9,89.1,1.3
Œwinoujœcie,2021-07-06 09:00:00+02:00,24.6,62.3,23.2
Tarnów,2021-07-06 09:00:00+02:00,26.1,53.2,0
Terespol,2021-07-06 09:00:00+02:00,26.6,58.0,0
Toruñ,2021-07-06 09:00:00+02:00,25.6,53.1,0
Ustka,2021-07-06 09:00:00+02:00,23.3,63.3,7.1
Warszawa,2021-07-06 09:00:00+02:00,25,55.1,0
Wieluñ,2021-07-06 09:00:00+02:00,24.3,54.2,0
W³odawa,2021-07-06 09:00:00+02:00,26.1,52.2,0
Wroc³aw,2021-07-06 09:00:00+02:00,26.7,46.2,0.01
Zakopane,2021-07-06 09:00:00+02:00,22.6,55.3,0
Zamoœæ,2021-07-06 09:00:00+02:00,25.6,58.2,0
