Miasto, Data i godzina, Temperatura,Opady,Wilgodnoœæ
Zielona Góra,2021-07-06 14:00:00+02:00,27.8,44.1,0.01
Bia³ystok,2021-07-06 15:00:00+02:00,27.6,44.0,2.5
Bielsko Bia³a,2021-07-06 15:00:00+02:00,27.9,44.1,0
Chojnice,2021-07-06 15:00:00+02:00,27.7,39.1,0.01
Czêstochowa,2021-07-06 15:00:00+02:00,28.6,36.0,0
Elbl¹g,2021-07-06 15:00:00+02:00,25.6,53.1,15.5
Gdañsk,2021-07-06 15:00:00+02:00,27.5,48.9,1.4
Gorzów,2021-07-06 15:00:00+02:00,28.6,43.1,5
Hel,2021-07-06 15:00:00+02:00,25.6,70.1,0.01
Jelenia Góra,2021-07-06 15:00:00+02:00,28,41.0,2.1
Kalisz,2021-07-06 15:00:00+02:00,29.5,36.0,0.01
Kasprowy Wierch,2021-07-06 15:00:00+02:00,14.7,76.5,0.01
Katowice,2021-07-06 14:00:00+02:00,28.4,35.0,0
Kêtrzyn,2021-07-06 15:00:00+02:00,27.2,46.9,0.5
Kielce,2021-07-06 15:00:00+02:00,27.9,41.0,0
K³odzko,2021-07-06 15:00:00+02:00,27,50.0,0.01
Ko³o,2021-07-06 14:00:00+02:00,28.9,30.8,0
Ko³obrzeg,2021-07-06 15:00:00+02:00,28.6,40.9,6.1
Koszalin,2021-07-06 15:00:00+02:00,28.2,43.0,38.7
Kozienice,2021-07-06 15:00:00+02:00,28,48.0,0
Kraków,2021-07-06 15:00:00+02:00,28.9,44.0,0
Krosno,2021-07-06 15:00:00+02:00,27.7,39.9,0
Legnica,2021-07-06 15:00:00+02:00,29.9,36.8,0.01
Lesko,2021-07-06 15:00:00+02:00,26.8,45.0,0
Leszno,2021-07-06 15:00:00+02:00,29.2,41.0,0.8
Lêbork,2021-07-06 15:00:00+02:00,28,42.1,1.8
Lublin,2021-07-06 15:00:00+02:00,27.3,45.1,0.01
£eba,2021-07-06 15:00:00+02:00,24.5,72.2,0.5
£ódŸ,2021-07-06 15:00:00+02:00,28.2,43.9,0
Miko³ajki,2021-07-06 15:00:00+02:00,27.5,50.1,18.4
M³awa,2021-07-06 15:00:00+02:00,26.6,49.0,0.01
Nowy S¹cz,2021-07-06 15:00:00+02:00,29,41.0,0
Olsztyn,2021-07-06 15:00:00+02:00,26.4,47.1,0
Opole,2021-07-06 15:00:00+02:00,29.4,37.0,0.01
Ostro³êka,2021-07-06 14:00:00+02:00,28.5,42.2,6.6
Pi³a,2021-07-06 15:00:00+02:00,29.5,35.1,0
Platforma,2021-07-06 15:00:00+02:00,20.8,75.5,0
P³ock,2021-07-06 15:00:00+02:00,28.4,35.1,0
Poznañ,2021-07-06 15:00:00+02:00,29.2,38.9,1.3
Przemyœl,2021-07-06 15:00:00+02:00,27.5,46.1,0
Racibórz,2021-07-06 15:00:00+02:00,29.2,39.9,0.01
Resko,2021-07-06 15:00:00+02:00,27.7,47.0,0.2
Rzeszów,2021-07-06 14:00:00+02:00,28.6,31.9,0
Sandomierz,2021-07-06 15:00:00+02:00,27.9,45.0,0
Siedlce,2021-07-06 15:00:00+02:00,28.3,41.9,0
S³ubice,2021-07-06 15:00:00+02:00,29.2,36.9,0.8
Sulejów,2021-07-06 15:00:00+02:00,28.6,39.0,0.01
Suwa³ki,2021-07-06 15:00:00+02:00,25,70.4,17.1
Szczecin,2021-07-06 15:00:00+02:00,28.3,45.1,6
Szczecinek,2021-07-06 15:00:00+02:00,27.4,41.7,1.3
Œnie¿ka,2021-07-06 15:00:00+02:00,15.2,75.6,1.3
Œwinoujœcie,2021-07-06 15:00:00+02:00,29,45.8,23.2
Tarnów,2021-07-06 15:00:00+02:00,29.2,41.8,0
Terespol,2021-07-06 15:00:00+02:00,28.3,45.9,0
Toruñ,2021-07-06 15:00:00+02:00,29.1,35.9,0
Ustka,2021-07-06 15:00:00+02:00,23.5,73.4,7.1
Warszawa,2021-07-06 15:00:00+02:00,27.8,42.9,0
Wieluñ,2021-07-06 14:00:00+02:00,28.4,37.0,0
W³odawa,2021-07-06 15:00:00+02:00,28.3,46.8,0
Wroc³aw,2021-07-06 15:00:00+02:00,29.8,38.8,0.01
Zakopane,2021-07-06 15:00:00+02:00,25.1,50.9,0
Zamoœæ,2021-07-06 15:00:00+02:00,27,51.0,0
Zielona Góra,2021-07-06 15:00:00+02:00,27.8,42.9,0.01
Bia³ystok,2021-07-06 16:00:00+02:00,25.3,65.3,2.5
Bielsko Bia³a,2021-07-06 16:00:00+02:00,27.7,46.1,0
Chojnice,2021-07-06 16:00:00+02:00,27.3,40.1,0.01
Czêstochowa,2021-07-06 16:00:00+02:00,28.5,33.9,0
Elbl¹g,2021-07-06 16:00:00+02:00,25.6,54.2,15.5
Gdañsk,2021-07-06 16:00:00+02:00,27.1,53.1,1.4
Gorzów,2021-07-06 16:00:00+02:00,29.4,40.8,5
Hel,2021-07-06 16:00:00+02:00,25.7,70.1,0.01
Jelenia Góra,2021-07-06 16:00:00+02:00,28,42.1,2.1
Kalisz,2021-07-06 16:00:00+02:00,29.3,36.9,0.01
Kasprowy Wierch,2021-07-06 16:00:00+02:00,14.2,72.4,0.01
Katowice,2021-07-06 16:00:00+02:00,28.5,39.0,0
Kêtrzyn,2021-07-06 16:00:00+02:00,27.1,46.9,0.5
Kielce,2021-07-06 16:00:00+02:00,27.7,41.0,0
K³odzko,2021-07-06 16:00:00+02:00,26.7,48.0,0.01
Ko³o,2021-07-06 16:00:00+02:00,28.8,32.0,0
Ko³obrzeg,2021-07-06 16:00:00+02:00,28.1,45.0,6.1
Koszalin,2021-07-06 16:00:00+02:00,28.4,40.9,38.7
Kozienice,2021-07-06 16:00:00+02:00,28.1,45.0,0
Kraków,2021-07-06 16:00:00+02:00,28.6,49.1,0
Krosno,2021-07-06 16:00:00+02:00,27.2,41.9,0
Legnica,2021-07-06 16:00:00+02:00,29.7,38.0,0.01
Lesko,2021-07-06 16:00:00+02:00,26.4,50.9,0
Leszno,2021-07-06 16:00:00+02:00,29.1,41.0,0.8
Lêbork,2021-07-06 16:00:00+02:00,28.2,41.1,1.8
Lublin,2021-07-06 16:00:00+02:00,28,43.0,0.01
£eba,2021-07-06 16:00:00+02:00,24.8,74.5,0.5
£ódŸ,2021-07-06 16:00:00+02:00,28.1,43.8,0
Miko³ajki,2021-07-06 16:00:00+02:00,27.1,46.9,18.4
M³awa,2021-07-06 16:00:00+02:00,27.3,43.1,0.01
Nowy S¹cz,2021-07-06 16:00:00+02:00,28.7,42.0,0
Olsztyn,2021-07-06 16:00:00+02:00,27,44.2,0
Opole,2021-07-06 16:00:00+02:00,29.4,36.0,0.01
Ostro³êka,2021-07-06 16:00:00+02:00,28.2,41.9,6.6
Pi³a,2021-07-06 16:00:00+02:00,29.3,36.0,0
Platforma,2021-07-06 16:00:00+02:00,21.2,75.5,0
P³ock,2021-07-06 16:00:00+02:00,28.3,36.0,0
Poznañ,2021-07-06 16:00:00+02:00,29.5,38.0,1.3
Przemyœl,2021-07-06 16:00:00+02:00,27.5,43.1,0
Racibórz,2021-07-06 16:00:00+02:00,29.2,39.9,0.01
Resko,2021-07-06 16:00:00+02:00,27.7,48.9,0.2
Rzeszów,2021-07-06 16:00:00+02:00,28,41.0,0
Sandomierz,2021-07-06 16:00:00+02:00,27.7,44.0,0
Siedlce,2021-07-06 16:00:00+02:00,27.9,44.1,0
S³ubice,2021-07-06 16:00:00+02:00,29.2,36.9,0.8
Sulejów,2021-07-06 16:00:00+02:00,28.1,43.0,0.01
Suwa³ki,2021-07-06 16:00:00+02:00,24.6,69.5,17.1
Szczecin,2021-07-06 16:00:00+02:00,28.5,43.9,6
Szczecinek,2021-07-06 16:00:00+02:00,27.1,43.1,1.3
Œnie¿ka,2021-07-06 16:00:00+02:00,15.6,72.7,1.3
Œwinoujœcie,2021-07-06 16:00:00+02:00,27.9,49.9,23.2
Tarnów,2021-07-06 16:00:00+02:00,28.8,40.9,0
Terespol,2021-07-06 16:00:00+02:00,28.3,50.0,0
Toruñ,2021-07-06 16:00:00+02:00,29.2,35.0,0
Ustka,2021-07-06 16:00:00+02:00,23.6,72.5,7.1
Warszawa,2021-07-06 16:00:00+02:00,27,46.0,0
Wieluñ,2021-07-06 16:00:00+02:00,28.2,40.0,0
W³odawa,2021-07-06 16:00:00+02:00,28.2,41.9,0
Wroc³aw,2021-07-06 16:00:00+02:00,29.8,38.0,0.01
Zakopane,2021-07-06 16:00:00+02:00,23.9,54.1,0
Zamoœæ,2021-07-06 16:00:00+02:00,27.2,51.1,0
Zielona Góra,2021-07-06 16:00:00+02:00,28.4,43.0,0.01
Bia³ystok,2021-07-06 17:00:00+02:00,24.9,69.1,2.5
Bielsko Bia³a,2021-07-06 16:00:00+02:00,27.7,46.1,0
Chojnice,2021-07-06 17:00:00+02:00,27.4,40.9,0.01
Czêstochowa,2021-07-06 16:00:00+02:00,28.5,33.9,0
Elbl¹g,2021-07-06 17:00:00+02:00,25.3,54.1,15.5
Gdañsk,2021-07-06 17:00:00+02:00,26.6,59.1,1.4
Gorzów,2021-07-06 17:00:00+02:00,27.9,47.1,5
Hel,2021-07-06 17:00:00+02:00,24.5,73.6,0.01
Jelenia Góra,2021-07-06 17:00:00+02:00,27.6,42.9,2.1
Kalisz,2021-07-06 17:00:00+02:00,28.8,38.1,0.01
Kasprowy Wierch,2021-07-06 17:00:00+02:00,13.5,76.4,0.01
Katowice,2021-07-06 17:00:00+02:00,28,42.9,0
Kêtrzyn,2021-07-06 17:00:00+02:00,26.7,47.1,0.5
Kielce,2021-07-06 17:00:00+02:00,26.8,44.1,0
K³odzko,2021-07-06 17:00:00+02:00,25.9,58.2,0.01
Ko³o,2021-07-06 16:00:00+02:00,28.8,32.0,0
Ko³obrzeg,2021-07-06 17:00:00+02:00,26.6,51.0,6.1
Koszalin,2021-07-06 17:00:00+02:00,28.4,43.9,38.7
Kozienice,2021-07-06 17:00:00+02:00,27.5,47.9,0
Kraków,2021-07-06 17:00:00+02:00,27.9,49.9,0
Krosno,2021-07-06 17:00:00+02:00,26.6,45.0,0
Legnica,2021-07-06 17:00:00+02:00,29.3,40.0,0.01
Lesko,2021-07-06 17:00:00+02:00,25.8,54.2,0
Leszno,2021-07-06 17:00:00+02:00,28.8,42.0,0.8
Lublin,2021-07-06 17:00:00+02:00,27.1,46.9,0.01
£eba,2021-07-06 17:00:00+02:00,26.1,66.2,0.5
£ódŸ,2021-07-06 17:00:00+02:00,28,44.1,0
Miko³ajki,2021-07-06 17:00:00+02:00,26.9,50.0,18.4
M³awa,2021-07-06 17:00:00+02:00,26.9,45.9,0.01
Nowy S¹cz,2021-07-06 17:00:00+02:00,27.8,44.9,0
Olsztyn,2021-07-06 17:00:00+02:00,27.2,46.0,0
Opole,2021-07-06 17:00:00+02:00,29,36.9,0.01
Ostro³êka,2021-07-06 16:00:00+02:00,28.2,41.9,6.6
Pi³a,2021-07-06 17:00:00+02:00,29,35.9,0
Platforma,2021-07-06 17:00:00+02:00,21.4,74.6,0
P³ock,2021-07-06 17:00:00+02:00,27.5,40.9,0
Poznañ,2021-07-06 17:00:00+02:00,29.1,37.9,1.3
Przemyœl,2021-07-06 17:00:00+02:00,26.6,49.0,0
Racibórz,2021-07-06 17:00:00+02:00,28.6,43.9,0.01
Resko,2021-07-06 17:00:00+02:00,26.5,54.0,0.2
Rzeszów,2021-07-06 17:00:00+02:00,27.3,47.9,0
Sandomierz,2021-07-06 17:00:00+02:00,27.3,43.1,0
Siedlce,2021-07-06 17:00:00+02:00,27.8,44.9,0
S³ubice,2021-07-06 17:00:00+02:00,28.3,40.0,0.8
Sulejów,2021-07-06 17:00:00+02:00,27.7,44.0,0.01
Suwa³ki,2021-07-06 17:00:00+02:00,24.3,71.2,17.1
Szczecin,2021-07-06 17:00:00+02:00,26.7,52.0,6
Szczecinek,2021-07-06 17:00:00+02:00,26.3,53.6,1.3
Œnie¿ka,2021-07-06 16:00:00+02:00,15.6,72.7,1.3
Œwinoujœcie,2021-07-06 17:00:00+02:00,27.1,52.1,23.2
Tarnów,2021-07-06 17:00:00+02:00,28.2,41.1,0
Terespol,2021-07-06 17:00:00+02:00,27.4,57.0,0
Toruñ,2021-07-06 17:00:00+02:00,28.9,35.9,0
Ustka,2021-07-06 16:00:00+02:00,23.6,72.5,7.1
Warszawa,2021-07-06 17:00:00+02:00,27.4,47.0,0
Wieluñ,2021-07-06 17:00:00+02:00,27.8,39.9,0
W³odawa,2021-07-06 17:00:00+02:00,27.8,50.9,0
Wroc³aw,2021-07-06 17:00:00+02:00,29.5,40.8,0.01
Zakopane,2021-07-06 17:00:00+02:00,24.6,54.2,0
Zamoœæ,2021-07-06 17:00:00+02:00,26.5,60.2,0
Zielona Góra,2021-07-06 17:00:00+02:00,28.1,45.0,0.01
Bia³ystok,2021-07-06 18:00:00+02:00,23.5,74.4,2.5
Bielsko Bia³a,2021-07-06 18:00:00+02:00,26.5,49.9,0
Chojnice,2021-07-06 18:00:00+02:00,26.7,45.0,0.01
Czêstochowa,2021-07-06 18:00:00+02:00,26.2,44.0,0
Elbl¹g,2021-07-06 18:00:00+02:00,24.4,61.0,15.5
Gdañsk,2021-07-06 18:00:00+02:00,25.1,67.4,1.4
Gorzów,2021-07-06 18:00:00+02:00,27,51.0,5
Hel,2021-07-06 18:00:00+02:00,23.7,77.3,0.01
Jelenia Góra,2021-07-06 18:00:00+02:00,27.2,49.1,2.1
Kalisz,2021-07-06 18:00:00+02:00,28.3,39.0,0.01
Kasprowy Wierch,2021-07-06 18:00:00+02:00,13,79.5,0.01
Katowice,2021-07-06 18:00:00+02:00,27,48.1,0
Kêtrzyn,2021-07-06 18:00:00+02:00,26,53.2,0.5
Kielce,2021-07-06 18:00:00+02:00,25.5,48.1,0
K³odzko,2021-07-06 18:00:00+02:00,24.5,65.1,0.01
Ko³o,2021-07-06 17:00:00+02:00,27.5,36.8,0
Ko³obrzeg,2021-07-06 18:00:00+02:00,25.9,54.2,6.1
Koszalin,2021-07-06 18:00:00+02:00,26.9,48.1,38.7
Kozienice,2021-07-06 18:00:00+02:00,26,56.0,0
Kraków,2021-07-06 18:00:00+02:00,26.2,56.1,0
Krosno,2021-07-06 18:00:00+02:00,25.1,55.1,0
Legnica,2021-07-06 18:00:00+02:00,28.2,46.8,0.01
Lesko,2021-07-06 18:00:00+02:00,24.4,58.3,0
Leszno,2021-07-06 18:00:00+02:00,28.2,45.9,0.8
Lêbork,2021-07-06 18:00:00+02:00,27.1,43.1,1.8
Lublin,2021-07-06 18:00:00+02:00,25.4,57.0,0.01
£eba,2021-07-06 18:00:00+02:00,25.4,64.0,0.5
£ódŸ,2021-07-06 18:00:00+02:00,27.1,46.9,0
Miko³ajki,2021-07-06 18:00:00+02:00,25.6,62.0,18.4
M³awa,2021-07-06 18:00:00+02:00,26,51.2,0.01
Nowy S¹cz,2021-07-06 18:00:00+02:00,26.5,48.9,0
Olsztyn,2021-07-06 18:00:00+02:00,26.6,46.2,0
Opole,2021-07-06 18:00:00+02:00,28,41.0,0.01
Ostro³êka,2021-07-06 17:00:00+02:00,27.9,43.2,6.6
Pi³a,2021-07-06 18:00:00+02:00,28.3,40.0,0
Platforma,2021-07-06 18:00:00+02:00,21.6,69.4,0
P³ock,2021-07-06 18:00:00+02:00,26.4,48.9,0
Poznañ,2021-07-06 18:00:00+02:00,28.7,38.1,1.3
Przemyœl,2021-07-06 18:00:00+02:00,25.5,52.4,0
Racibórz,2021-07-06 18:00:00+02:00,27.6,47.0,0.01
Resko,2021-07-06 18:00:00+02:00,25.4,60.0,0.2
Rzeszów,2021-07-06 18:00:00+02:00,25.4,58.1,0
Sandomierz,2021-07-06 18:00:00+02:00,26.9,51.0,0
Siedlce,2021-07-06 18:00:00+02:00,25.7,60.1,0
S³ubice,2021-07-06 18:00:00+02:00,27.7,41.0,0.8
Sulejów,2021-07-06 18:00:00+02:00,26.5,50.9,0.01
Suwa³ki,2021-07-06 18:00:00+02:00,23.3,76.3,17.1
Szczecin,2021-07-06 18:00:00+02:00,26,57.1,6
Szczecinek,2021-07-06 18:00:00+02:00,25.9,57.1,1.3
Œnie¿ka,2021-07-06 18:00:00+02:00,15.1,75.6,1.3
Œwinoujœcie,2021-07-06 18:00:00+02:00,26.3,57.9,23.2
Tarnów,2021-07-06 18:00:00+02:00,26.3,52.9,0
Terespol,2021-07-06 18:00:00+02:00,26,63.3,0
Toruñ,2021-07-06 18:00:00+02:00,28,40.0,0
Ustka,2021-07-06 18:00:00+02:00,22.6,83.8,7.1
Warszawa,2021-07-06 18:00:00+02:00,26.2,53.9,0
Wieluñ,2021-07-06 18:00:00+02:00,25.4,51.0,0
W³odawa,2021-07-06 18:00:00+02:00,27,58.1,0
Wroc³aw,2021-07-06 18:00:00+02:00,27.4,52.1,0.01
Zakopane,2021-07-06 18:00:00+02:00,22.4,62.2,0
Zamoœæ,2021-07-06 18:00:00+02:00,25.4,62.0,0
Zielona Góra,2021-07-06 18:00:00+02:00,27,46.0,0.01
Bia³ystok,2021-07-06 19:00:00+02:00,20.4,85.8,2.5
Bielsko Bia³a,2021-07-06 19:00:00+02:00,23.7,61.3,0
Chojnice,2021-07-06 19:00:00+02:00,24.8,52.3,0.01
Czêstochowa,2021-07-06 19:00:00+02:00,25.1,48.0,0
Elbl¹g,2021-07-06 19:00:00+02:00,22.8,70.5,15.5
Gdañsk,2021-07-06 19:00:00+02:00,23.9,70.3,1.4
Gorzów,2021-07-06 19:00:00+02:00,26,53.2,5
Hel,2021-07-06 19:00:00+02:00,22.9,82.8,0.01
Jelenia Góra,2021-07-06 19:00:00+02:00,22,69.5,2.1
Kalisz,2021-07-06 19:00:00+02:00,26.5,48.0,0.01
Kasprowy Wierch,2021-07-06 19:00:00+02:00,12.6,80.6,0.01
Katowice,2021-07-06 19:00:00+02:00,23.5,63.3,0
Kêtrzyn,2021-07-06 19:00:00+02:00,24.1,64.2,0.5
Kielce,2021-07-06 19:00:00+02:00,22.4,64.3,0
K³odzko,2021-07-06 19:00:00+02:00,23.8,63.3,0.01
Ko³o,2021-07-06 18:00:00+02:00,26.8,43.9,0
Ko³obrzeg,2021-07-06 19:00:00+02:00,25.1,57.3,6.1
Koszalin,2021-07-06 19:00:00+02:00,25.8,53.2,38.7
Kozienice,2021-07-06 19:00:00+02:00,21.9,78.6,0
Kraków,2021-07-06 19:00:00+02:00,24.1,64.2,0
Krosno,2021-07-06 19:00:00+02:00,23.1,62.4,0
Legnica,2021-07-06 19:00:00+02:00,26.3,52.2,0.01
Lesko,2021-07-06 19:00:00+02:00,22.2,64.3,0
Leszno,2021-07-06 19:00:00+02:00,25.7,55.3,0.8
Lêbork,2021-07-06 19:00:00+02:00,25.7,51.1,1.8
Lublin,2021-07-06 19:00:00+02:00,22.3,69.5,0.01
£eba,2021-07-06 19:00:00+02:00,23.8,60.1,0.5
£ódŸ,2021-07-06 18:00:00+02:00,27.1,46.9,0
Miko³ajki,2021-07-06 19:00:00+02:00,22.8,71.5,18.4
M³awa,2021-07-06 19:00:00+02:00,24,61.4,0.01
Nowy S¹cz,2021-07-06 19:00:00+02:00,24.7,53.3,0
Olsztyn,2021-07-06 19:00:00+02:00,23,66.1,0
Opole,2021-07-06 19:00:00+02:00,25.8,49.1,0.01
Ostro³êka,2021-07-06 18:00:00+02:00,26.3,51.9,6.6
Pi³a,2021-07-06 19:00:00+02:00,26.2,47.0,0
Platforma,2021-07-06 19:00:00+02:00,21.6,74.6,0
P³ock,2021-07-06 19:00:00+02:00,23.8,59.4,0
Poznañ,2021-07-06 19:00:00+02:00,27.4,43.1,1.3
Przemyœl,2021-07-06 19:00:00+02:00,24.1,59.4,0
Racibórz,2021-07-06 19:00:00+02:00,25.3,56.3,0.01
Resko,2021-07-06 19:00:00+02:00,24.7,61.1,0.2
Rzeszów,2021-07-06 19:00:00+02:00,23.7,66.3,0
Sandomierz,2021-07-06 19:00:00+02:00,24.6,52.2,0
Siedlce,2021-07-06 19:00:00+02:00,22.5,69.6,0
S³ubice,2021-07-06 19:00:00+02:00,26.8,45.9,0.8
Sulejów,2021-07-06 19:00:00+02:00,24.5,56.1,0.01
Suwa³ki,2021-07-06 19:00:00+02:00,21.6,82.7,17.1
Szczecin,2021-07-06 19:00:00+02:00,25.1,59.2,6
Szczecinek,2021-07-06 19:00:00+02:00,21.6,74.6,1.3
Œnie¿ka,2021-07-06 19:00:00+02:00,15.3,69.7,1.3
Œwinoujœcie,2021-07-06 19:00:00+02:00,25.2,63.2,23.2
Tarnów,2021-07-06 19:00:00+02:00,23.8,61.3,0
Terespol,2021-07-06 19:00:00+02:00,23.5,72.5,0
Toruñ,2021-07-06 19:00:00+02:00,26.5,44.1,0
Ustka,2021-07-06 19:00:00+02:00,23,78.7,7.1
Warszawa,2021-07-06 19:00:00+02:00,25,56.2,0
Wieluñ,2021-07-06 19:00:00+02:00,22.8,61.1,0
W³odawa,2021-07-06 19:00:00+02:00,22.7,72.4,0
Wroc³aw,2021-07-06 19:00:00+02:00,26.6,53.0,0.01
Zakopane,2021-07-06 19:00:00+02:00,20,72.4,0
Zamoœæ,2021-07-06 19:00:00+02:00,21.9,76.6,0
Zielona Góra,2021-07-06 19:00:00+02:00,25.1,53.0,0.01
